"","yr","mo","bay_segment","mean_sdm","sum_sdm"
"242",1980,4,"HB",0.81,NA
"243",1980,4,"LTB",1.32857142857143,NA
"244",1980,4,"OTB",1.15172413793103,NA
"245",1980,5,"HB",0.922222222222222,NA
"246",1980,5,"LTB",3.475,NA
"247",1980,5,"OTB",1.09333333333333,NA
"248",1980,6,"HB",0.711111111111111,NA
"249",1980,6,"LTB",1.5375,NA
"250",1980,6,"OTB",0.921428571428571,NA
"251",1980,7,"HB",0.770588235294118,NA
"252",1980,7,"LTB",2.4625,NA
"253",1980,7,"OTB",1.28666666666667,NA
"254",1980,8,"HB",0.65,NA
"255",1980,8,"LTB",2.975,NA
"256",1980,8,"OTB",1.32,NA
"257",1980,9,"LTB",2.075,NA
"258",1980,9,"OTB",0.764285714285714,NA
"259",1980,10,"HB",0.635,NA
"260",1980,10,"LTB",1.5375,NA
"261",1980,10,"OTB",0.907692307692308,NA
"262",1980,11,"LTB",1.4625,NA
"263",1980,11,"OTB",1.30769230769231,NA
"264",1980,12,"HB",0.833333333333333,NA
"265",1980,12,"LTB",1.67142857142857,NA
"266",1981,1,"HB",0.833333333333333,NA
"267",1981,1,"LTB",3.34285714285714,NA
"268",1981,1,"OTB",2.14,NA
"269",1981,2,"HB",0.733333333333333,NA
"270",1981,2,"LTB",2.1375,NA
"271",1981,2,"OTB",2.53333333333333,NA
"272",1981,3,"HB",1.78571428571429,NA
"273",1981,3,"OTB",1.57692307692308,NA
"274",1981,4,"HB",0.877777777777778,NA
"275",1981,4,"LTB",2.42,NA
"276",1981,4,"OTB",1.37857142857143,NA
"277",1981,5,"HB",0.577777777777778,NA
"278",1981,5,"LTB",1.3,NA
"279",1981,5,"OTB",0.913333333333333,NA
"280",1981,6,"HB",0.6125,NA
"281",1981,6,"LTB",3.0875,NA
"282",1981,6,"OTB",0.933333333333333,NA
"283",1981,7,"HB",0.675,NA
"284",1981,7,"LTB",2.175,NA
"285",1981,7,"OTB",1.08666666666667,NA
"286",1981,8,"HB",0.7,NA
"287",1981,8,"LTB",2.6125,NA
"288",1981,8,"OTB",0.846666666666667,NA
"289",1981,9,"HB",0.58,NA
"290",1981,9,"LTB",1.2375,NA
"291",1981,9,"OTB",1.22068965517241,NA
"292",1981,10,"HB",0.794444444444445,NA
"293",1981,10,"LTB",2.3,NA
"294",1981,10,"OTB",1.43333333333333,NA
"295",1981,11,"LTB",1.9625,NA
"296",1981,11,"OTB",1.59285714285714,NA
"297",1981,12,"HB",0.844444444444444,NA
"298",1981,12,"LTB",2.14285714285714,NA
"299",1982,1,"HB",1.14444444444444,NA
"300",1982,1,"LTB",2.48333333333333,NA
"301",1982,1,"OTB",1.8,NA
"302",1982,2,"HB",1.07142857142857,NA
"303",1982,2,"LTB",3.71428571428571,NA
"304",1982,2,"OTB",2.02222222222222,NA
"305",1982,3,"HB",1.1375,NA
"306",1982,3,"LTB",3.11428571428571,NA
"307",1982,3,"OTB",1.16896551724138,NA
"308",1982,4,"HB",0.69,NA
"309",1982,4,"LTB",2.4125,NA
"310",1982,4,"OTB",1.39285714285714,NA
"311",1982,7,"HB",0.83,NA
"312",1982,7,"LTB",2.82857142857143,NA
"313",1982,8,"HB",0.72,NA
"314",1982,8,"LTB",2.31428571428571,NA
"315",1982,8,"OTB",1.36,NA
"316",1982,9,"HB",0.711111111111111,NA
"317",1982,9,"LTB",1.4875,NA
"318",1982,9,"OTB",1.14333333333333,NA
"319",1982,10,"HB",0.59,NA
"320",1982,10,"LTB",1.5,NA
"321",1982,10,"OTB",1.15333333333333,NA
"322",1982,11,"HB",0.888888888888889,NA
"323",1982,11,"LTB",1.71428571428571,NA
"324",1982,11,"OTB",1.34285714285714,NA
