"","bay_segment","yr","mean_sdm","mean_la"
"124","OTB",2002,1.60684981684982,0.927280187840518
"125","OTB",2003,1.43669871794872,1.03709983268265
"126","OTB",2004,1.69754019129019,0.87774063179473
"127","OTB",2005,1.93667989417989,0.769357912207249
"128","OTB",2006,2.4015731028231,0.62042666877326
"129","OTB",2007,2.20046231546232,0.677130432786781
"130","OTB",2008,2.14011446886447,0.696224441111594
"131","OTB",2009,1.84475297850298,0.807696215896146
"132","OTB",2010,1.76967287342287,0.841963519007931
"133","OTB",2011,1.63338092463092,0.912218318171358
"134","OTB",2012,2.16959753209753,0.686763318060881
"135","OTB",2013,2.62578102453102,0.56745021236724
"136","OTB",2014,2.46001017501018,0.60568855167188
"137","OTB",2015,2.65835137085137,0.560497764267636
"138","OTB",2016,2.59249643874644,0.574735601457746
"139","OTB",2017,2.18436306748807,0.682121036643163
"140","OTB",2018,2.19750231250231,0.67804251741757
"141","OTB",2019,2.60627705627706,0.57169670293165
"142","MTB",1972,1.97842825129017,0.753123091033673
"143","MTB",1974,1.88662380631088,0.789770591792519
"144","MTB",1975,1.67206331554487,0.891114580499277
"145","MTB",1976,1.66615315621061,0.894275531901737
"146","MTB",1977,1.24952261092872,1.19245541214539
"147","MTB",1978,1.06355868652448,1.40095701241372
"148","MTB",1979,1.06851954495293,1.39445273325874
"149","MTB",1980,1.18395609246074,1.25849261597461
"150","MTB",1981,1.37868204802769,1.08074229452074
"151","MTB",1982,1.3978309354698,1.06593720470153
"152","MTB",1983,1.3672485533169,1.08977990606413
"153","MTB",1984,1.43145992681067,1.04089536290391
"154","MTB",1985,1.51352230974083,0.984458564244848
"155","MTB",1986,1.99975120133665,0.74509268903255
"156","MTB",1987,1.99129186521404,0.748257965609599
"157","MTB",1988,2.00480966579398,0.743212697655217
"158","MTB",1989,1.75964660299299,0.846760933397454
"159","MTB",1990,1.90356245113272,0.782742903503571
"160","MTB",1991,1.97526396267079,0.754329562103359
"161","MTB",1992,2.12170751653792,0.702264562097276
"162","MTB",1993,1.97928054330026,0.752798790976629
"163","MTB",1994,2.06203626827521,0.722586708548202
"164","MTB",1995,1.75859039157697,0.847269498989971
"165","MTB",1996,1.96131551197518,0.759694190405637
"166","MTB",1997,1.6888065191452,0.882279872269899
"167","MTB",1998,1.39672490626717,1.06678129194539
"168","MTB",1999,1.96728441449303,0.757389215826208
"169","MTB",2000,1.87900611889525,0.79297240440922
"170","MTB",2001,1.68002333220208,0.886892444551348
"171","MTB",2002,2.15069037056789,0.692800795684301
"172","MTB",2003,1.92072338916901,0.775749391298161
"173","MTB",2004,2.14663884983354,0.694108373243845
"174","MTB",2005,2.30855736287534,0.645424724531942
"175","MTB",2006,3.06135165500393,0.486713114961661
"176","MTB",2007,2.19856646681104,0.677714329993037
"177","MTB",2008,2.20085265226198,0.677010338910521
"178","MTB",2009,2.29472934645593,0.649314047559123
"179","MTB",2010,2.1737842340304,0.685440613964431
"180","MTB",2011,2.2427366484588,0.664366902384159
"181","MTB",2012,2.41613140642339,0.616688312580503
"182","MTB",2013,2.61927409916826,0.568859899188537
"183","MTB",2014,2.59894707125311,0.57330909754987
"184","MTB",2015,2.52095884913324,0.591044951214612
"185","MTB",2016,3.00370214373445,0.496054511632605
"186","MTB",2017,3.08785505012552,0.48253560345698
"187","MTB",2018,2.61548850830128,0.569683252390863
"188","MTB",2019,2.73311139123221,0.545166217805796
